Crop,Season,Nmin,Nmax,Pmin,Pmax,Kmin,Kmax,pHmin,pHmax,Water
ASHGOURD,3,50,60,20,30,50,60,6,7.5,2
Banana,3,200,250,50,60,200,250,5.5,7,3
BEETROOT,2,60,80,30,40,60,80,6,7.5,1
Bitter Gourd,3,80,100,40,50,80,100,6,7.5,2
Black Gram,2,20,30,10,15,20,25,6,7.5,2
Bottle Gourd,3,60,80,30,40,60,80,6,7.5,2
Brinjal,3,100,120,50,60,100,120,5.5,6.5,2
Cabbage,2,120,150,50,60,120,150,6,6.8,2
Cardamoms,3,150,200,60,80,200,250,5.5,6.5,3
Carrot,2,60,80,30,40,60,80,6,6.8,2
CASHEWNUTS,3,50,60,20,30,50,60,6,7.5,2
Cloves,3,100,120,50,60,100,120,5.5,6.5,3
Cocoa,3,100,120,50,60,100,120,6,7,3
Coconut,3,150,200,60,80,200,250,5.5,7,3
Coffee,3,150,200,50,60,150,200,6,6.5,3
Coriander,3,40,50,20,30,40,50,6,7.5,1
Cumin,3,20,30,10,15,20,30,6,7.5,1
Garlic,3,40,50,20,30,40,50,6,7.5,1
Ginger,3,100,120,50,60,100,120,5.5,6.5,3
Grapes,3,60,80,30,40,60,80,6,7.5,1
Green Gram,2,20,30,10,15,20,25,6,7.5,2
Groundnut,3,120,150,30,40,40,50,5.8,6.2,2
Guava,3,150,200,50,60,150,200,6,7.5,2
Indian Bean,3,80,100,40,50,80,100,6,7.5,2
Lemon,3,100,120,50,60,100,120,5.5,6.5,2
Lime,3,100,120,50,60,100,120,5.5,7,2
Little Gourd,3,80,100,40,50,80,100,6,7.5,2
Mango,3,100,150,50,60,100,150,5.5,7,2
Nutmeg,3,100,120,50,60,100,120,6,7.5,3
Onion,2,25,30,50,60,25,30,6,7,2
Papaya,3,150,200,60,80,150,200,6,7.5,2
BLACK PEPPER,3,100,120,50,60,100,120,5.5,7,2
Pineapple,3,80,100,40,50,120,150,4.5,6,3
Pomegranate,3,100,120,50,60,100,120,5.5,7,2
Potato,3,120,150,60,80,120,150,4.8,6.5,2
Pumpkin,3,80,100,40,50,80,100,6,7.5,2
Radish,2,40,50,30,40,40,50,6,7,1
RAGI,1,30,40,20,25,20,25,6,8,1
Rice,1,100,120,20,25,40,60,5,6.5,3
Sapota,3,100,120,50,60,100,120,6,6.8,3
SNAKEGUARD,3,80,100,40,50,80,100,6,7.5,2
Sweet Potato,2,100,120,50,60,100,120,5.8,6.2,2
Sweet-Sop,3,100,120,50,60,100,120,5.5,7,3
Tapioca,3,50,60,20,30,50,60,5,6.5,3
Tomato,3,100,120,60,80,100,120,5.5,7,2
Turmeric,3,60,80,30,40,60,80,4.5,7.5,3
